setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,rectangle_low,rectangle_high,ai_score
EURUSD_2026-02-06T00:00:00_SHORT,EURUSD,sell,2026-02-06T00:00:00,2026-02-06T00:15:00,1.17835,1.17847,1.1779900000000003,3.0,2026-02-06T00:17:00,1.1779900000000003,TP_HIT,3.0,8.999999999992347,1.17838,1.17847,100
EURUSD_2026-02-06T00:30:00_SHORT,EURUSD,sell,2026-02-06T00:30:00,2026-02-06T00:57:00,1.17823,1.17854,1.1773000000000007,3.0,2026-02-06T00:59:00,1.17854,SL_HIT,-1.0,21.99999999998869,1.17832,1.17854,100
EURUSD_2026-02-06T05:30:00_SHORT,EURUSD,sell,2026-02-06T05:30:00,2026-02-06T05:45:00,1.17994,1.18018,1.17922,3.0,2026-02-06T06:14:00,1.17922,TP_HIT,3.0,21.00000000000435,1.17997,1.18018,100
EURUSD_2026-02-06T16:30:00_SHORT,EURUSD,sell,2026-02-06T16:30:00,2026-02-06T16:45:00,1.18177,1.18195,1.1812299999999998,3.0,2026-02-06T16:52:00,1.18195,SL_HIT,-1.0,14.000000000002897,1.18181,1.18195,100
EURUSD_2026-02-06T16:45:00_SHORT,EURUSD,sell,2026-02-06T16:45:00,2026-02-06T17:01:00,1.1818,1.18207,1.18099,3.0,2026-02-06T17:11:00,1.18207,SL_HIT,-1.0,25.999999999992692,1.18181,1.18207,100
EURUSD_2026-02-06T20:00:00_SHORT,EURUSD,sell,2026-02-06T20:00:00,2026-02-06T20:15:00,1.18222,1.18236,1.1818,3.0,2026-02-06T20:25:00,1.18236,SL_HIT,-1.0,12.000000000012,1.18224,1.18236,100
EURUSD_2026-02-06T20:45:00_LONG,EURUSD,buy,2026-02-06T20:45:00,2026-02-08T22:01:00,1.18188,1.18133,1.1835300000000002,3.0,2026-02-08T22:04:00,1.18133,SL_HIT,-1.0,22.000000000010896,1.18133,1.18155,100
EURUSD_2026-02-09T18:15:00_SHORT,EURUSD,sell,2026-02-09T18:15:00,2026-02-09T19:18:00,1.19163,1.19179,1.1911500000000002,3.0,2026-02-09T19:20:00,1.19179,SL_HIT,-1.0,7.000000000001449,1.19172,1.19179,100
EURUSD_2026-02-09T21:15:00_LONG,EURUSD,buy,2026-02-09T21:15:00,2026-02-09T21:30:00,1.19123,1.191,1.1919199999999999,3.0,2026-02-09T22:17:00,1.191,SL_HIT,-1.0,19.999999999997797,1.191,1.1912,100
EURUSD_2026-02-09T22:45:00_LONG,EURUSD,buy,2026-02-09T22:45:00,2026-02-09T23:00:00,1.19049,1.19017,1.1914500000000003,3.0,2026-02-09T23:09:00,1.19017,SL_HIT,-1.0,21.00000000000435,1.19017,1.19038,100
EURUSD_2026-02-10T05:00:00_SHORT,EURUSD,sell,2026-02-10T05:00:00,2026-02-10T05:15:00,1.19074,1.19132,1.1889999999999998,3.0,2026-02-10T07:40:00,1.19132,SL_HIT,-1.0,41.000000000002146,1.19091,1.19132,100
EURUSD_2026-02-10T05:15:00_LONG,EURUSD,buy,2026-02-10T05:15:00,2026-02-10T05:35:00,1.19053,1.19032,1.1911600000000002,3.0,2026-02-10T05:45:00,1.19032,SL_HIT,-1.0,19.999999999997797,1.19032,1.19052,100
EURUSD_2026-02-10T05:30:00_LONG,EURUSD,buy,2026-02-10T05:30:00,2026-02-10T06:00:00,1.19051,1.19026,1.1912599999999995,3.0,2026-02-10T06:03:00,1.19026,SL_HIT,-1.0,17.999999999984695,1.19026,1.19044,100
