setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,rectangle_low,rectangle_high,ai_score
NAS100_2026-02-06T07:45:00_SHORT,NAS100,sell,2026-02-06T07:45:00,2026-02-06T08:02:00,24480.82,24507.7,24400.179999999997,3.0,2026-02-06T08:08:00,24507.7,SL_HIT,-1.0,2213.000000000102,24485.07,24507.2,100
NAS100_2026-02-06T13:15:00_LONG,NAS100,buy,2026-02-06T13:15:00,2026-02-06T13:32:00,24734.45,24649.07,24990.590000000004,3.0,2026-02-06T14:16:00,24649.07,SL_HIT,-1.0,1188.0000000001019,24649.57,24661.45,100
NAS100_2026-02-09T02:30:00_LONG,NAS100,buy,2026-02-09T02:30:00,2026-02-09T02:51:00,25118.34,25100.72,25171.199999999997,3.0,2026-02-09T02:58:00,25100.72,SL_HIT,-1.0,1661.9999999998981,25101.22,25117.84,100
NAS100_2026-02-09T05:00:00_LONG,NAS100,buy,2026-02-09T05:00:00,2026-02-09T05:37:00,25105.97,25072.34,25206.860000000004,3.0,2026-02-09T05:58:00,25072.34,SL_HIT,-1.0,3050.0,25072.84,25103.34,100
NAS100_2026-02-09T08:15:00_LONG,NAS100,buy,2026-02-09T08:15:00,2026-02-09T08:30:00,25065.39,25052.39,25104.39,3.0,2026-02-09T08:33:00,25052.39,SL_HIT,-1.0,1225.0,25052.89,25065.14,100
NAS100_2026-02-09T22:45:00_LONG,NAS100,buy,2026-02-09T22:45:00,2026-02-09T23:00:00,25257.93,25239.68,25312.68,3.0,2026-02-09T23:10:00,25239.68,SL_HIT,-1.0,1536.9999999998981,25240.18,25255.55,100
NAS100_2026-02-10T00:45:00_SHORT,NAS100,sell,2026-02-10T00:45:00,2026-02-10T01:00:00,25240.68,25263.3,25172.820000000003,3.0,2026-02-10T04:36:00,25263.3,SL_HIT,-1.0,1736.9999999998981,25245.43,25262.8,100
NAS100_2026-02-10T01:30:00_LONG,NAS100,buy,2026-02-10T01:30:00,2026-02-10T01:52:00,25221.8,25197.8,25293.8,3.0,2026-02-10T02:07:00,25197.8,SL_HIT,-1.0,1738.0000000001019,25198.3,25215.68,100
NAS100_2026-02-10T04:30:00_SHORT,NAS100,sell,2026-02-10T04:30:00,2026-02-10T04:47:00,25246.68,25267.05,25185.570000000003,3.0,2026-02-10T04:55:00,25267.05,SL_HIT,-1.0,1850.0,25248.05,25266.55,100
NAS100_2026-02-10T04:45:00_SHORT,NAS100,sell,2026-02-10T04:45:00,2026-02-10T05:01:00,25256.43,25269.18,25218.18,3.0,2026-02-10T05:34:00,25218.18,TP_HIT,3.0,613.0000000001019,25262.55,25268.68,100
NAS100_2026-02-10T05:15:00_LONG,NAS100,buy,2026-02-10T05:15:00,2026-02-10T05:30:00,25236.05,25220.93,25281.409999999996,3.0,2026-02-10T05:34:00,25220.93,SL_HIT,-1.0,861.9999999998981,25221.43,25230.05,100
NAS100_2026-02-10T10:00:00_LONG,NAS100,buy,2026-02-10T10:00:00,2026-02-10T10:15:00,25261.23,25243.6,25314.120000000003,3.0,2026-02-10T11:23:00,25314.120000000003,TP_HIT,3.0,1375.0,25244.1,25257.85,100
NAS100_2026-02-10T13:30:00_LONG,NAS100,buy,2026-02-10T13:30:00,2026-02-10T13:50:00,25229.1,25176.1,25388.1,3.0,2026-02-10T19:06:00,25176.1,SL_HIT,-1.0,4375.0,25176.6,25220.35,100
NAS100_2026-02-10T14:15:00_SHORT,NAS100,sell,2026-02-10T14:15:00,2026-02-10T14:37:00,25297.35,25338.6,25173.6,3.0,2026-02-10T14:47:00,25338.6,SL_HIT,-1.0,2561.999999999898,25312.48,25338.1,100
NAS100_2026-02-11T00:45:00_SHORT,NAS100,sell,2026-02-11T00:45:00,2026-02-11T01:00:00,25225.33,25239.95,25181.470000000005,3.0,2026-02-11T01:22:00,25239.95,SL_HIT,-1.0,1036.9999999998981,25229.08,25239.45,100
NAS100_2026-02-11T01:00:00_SHORT,NAS100,sell,2026-02-11T01:00:00,2026-02-11T01:15:00,25230.58,25235.83,25214.83,3.0,2026-02-11T01:19:00,25235.83,SL_HIT,-1.0,375.0,25231.58,25235.33,100
NAS100_2026-02-11T01:15:00_SHORT,NAS100,sell,2026-02-11T01:15:00,2026-02-11T01:31:00,25233.08,25243.83,25200.83,3.0,2026-02-11T02:41:00,25243.83,SL_HIT,-1.0,1000.0,25233.33,25243.33,100
NAS100_2026-02-11T08:30:00_LONG,NAS100,buy,2026-02-11T08:30:00,2026-02-11T08:45:00,25131.25,25117.63,25172.109999999997,3.0,2026-02-11T09:00:00,25117.63,SL_HIT,-1.0,911.9999999998981,25118.13,25127.25,100
NAS100_2026-02-11T18:00:00_SHORT,NAS100,sell,2026-02-11T18:00:00,2026-02-11T18:45:00,25200.25,25239.5,25082.5,3.0,2026-02-11T18:46:00,25239.5,SL_HIT,-1.0,861.9999999998981,25230.38,25239.0,100
NAS100_2026-02-12T04:30:00_SHORT,NAS100,sell,2026-02-12T04:30:00,2026-02-12T04:53:00,25249.8,25261.68,25214.159999999996,3.0,2026-02-12T05:43:00,25214.159999999996,TP_HIT,3.0,800.0,25253.18,25261.18,100
NAS100_2026-02-12T04:45:00_SHORT,NAS100,sell,2026-02-12T04:45:00,2026-02-12T05:01:00,25251.93,25258.68,25231.68,3.0,2026-02-12T05:14:00,25258.68,SL_HIT,-1.0,275.0,25255.43,25258.18,100
NAS100_2026-02-12T18:30:00_SHORT,NAS100,sell,2026-02-12T18:30:00,2026-02-12T18:52:00,24830.1,24854.98,24755.459999999995,3.0,2026-02-12T19:20:00,24755.459999999995,TP_HIT,3.0,2175.0,24832.73,24854.48,100
NAS100_2026-02-12T19:15:00_LONG,NAS100,buy,2026-02-12T19:15:00,2026-02-12T19:30:00,24726.23,24713.73,24763.73,3.0,2026-02-12T19:31:00,24713.73,SL_HIT,-1.0,711.9999999998981,24714.23,24721.35,100
NAS100_2026-02-12T19:30:00_LONG,NAS100,buy,2026-02-12T19:30:00,2026-02-12T20:13:00,24723.05,24700.35,24791.15,3.0,2026-02-12T22:33:00,24700.35,SL_HIT,-1.0,2000.0,24700.85,24720.85,100
NAS100_2026-02-12T23:00:00_SHORT,NAS100,sell,2026-02-12T23:00:00,2026-02-12T23:15:00,24760.48,24780.98,24698.98,3.0,2026-02-12T23:25:00,24698.98,TP_HIT,3.0,1900.0,24761.48,24780.48,100
NAS100_2026-02-12T23:45:00_LONG,NAS100,buy,2026-02-12T23:45:00,2026-02-13T00:00:00,24665.11,24626.23,24781.750000000004,3.0,2026-02-13T04:26:00,24626.23,SL_HIT,-1.0,2150.0,24626.73,24648.23,100
NAS100_2026-02-13T07:45:00_SHORT,NAS100,sell,2026-02-13T07:45:00,2026-02-13T08:00:00,24690.03,24700.91,24657.389999999996,3.0,2026-02-13T08:03:00,24657.389999999996,TP_HIT,3.0,850.0,24691.91,24700.41,100
NAS100_2026-02-13T12:00:00_LONG,NAS100,buy,2026-02-13T12:00:00,2026-02-13T12:15:00,24548.78,24542.16,24568.639999999996,3.0,2026-02-13T12:17:00,24568.639999999996,TP_HIT,3.0,511.99999999989814,24542.66,24547.78,100
NAS100_2026-02-13T12:45:00_SHORT,NAS100,sell,2026-02-13T12:45:00,2026-02-13T13:05:00,24689.53,24729.28,24570.28,3.0,2026-02-13T13:40:00,24570.28,TP_HIT,3.0,3061.999999999898,24698.16,24728.78,100
NAS100_2026-02-13T15:45:00_SHORT,NAS100,sell,2026-02-13T15:45:00,2026-02-13T16:00:00,24811.28,24850.28,24694.28,3.0,2026-02-13T16:12:00,24850.28,SL_HIT,-1.0,3761.999999999898,24812.16,24849.78,100
NAS100_2026-02-13T18:30:00_LONG,NAS100,buy,2026-02-13T18:30:00,2026-02-13T18:45:00,24850.41,24804.66,24987.66,3.0,2026-02-13T18:57:00,24804.66,SL_HIT,-1.0,1900.0,24805.16,24824.16,100
NAS100_2026-02-15T22:15:00_SHORT,NAS100,sell,2026-02-15T22:15:00,2026-02-15T22:32:00,24734.44,24755.69,24670.69,3.0,2026-02-15T22:59:00,24755.69,SL_HIT,-1.0,1100.0,24744.19,24755.19,100
NAS100_2026-02-16T05:15:00_LONG,NAS100,buy,2026-02-16T05:15:00,2026-02-16T05:30:00,24740.07,24720.07,24800.07,3.0,2026-02-16T07:06:00,24800.07,TP_HIT,3.0,1686.9999999998981,24720.57,24737.44,100
NAS100_2026-02-16T06:30:00_SHORT,NAS100,sell,2026-02-16T06:30:00,2026-02-16T06:45:00,24787.74,24799.99,24750.99,3.0,2026-02-16T07:06:00,24799.99,SL_HIT,-1.0,575.0,24793.74,24799.49,100
NAS100_2026-02-16T07:00:00_SHORT,NAS100,sell,2026-02-16T07:00:00,2026-02-16T07:34:00,24793.49,24811.62,24739.10000000001,3.0,2026-02-16T07:45:00,24811.62,SL_HIT,-1.0,1662.999999999738,24794.49,24811.12,100
NAS100_2026-02-16T15:30:00_LONG,NAS100,buy,2026-02-16T15:30:00,2026-02-16T15:46:00,24642.37,24597.37,24777.37,3.0,2026-02-17T00:56:00,24597.37,SL_HIT,-1.0,3037.000000000262,24597.87,24628.24,100
NAS100_2026-02-17T04:15:00_LONG,NAS100,buy,2026-02-17T04:15:00,2026-02-17T04:30:00,24530.4,24496.27,24632.790000000005,3.0,2026-02-17T04:35:00,24496.27,SL_HIT,-1.0,2988.000000000102,24496.77,24526.65,100
NAS100_2026-02-17T05:00:00_SHORT,NAS100,sell,2026-02-17T05:00:00,2026-02-17T05:20:00,24545.27,24561.65,24496.129999999997,3.0,2026-02-17T05:41:00,24561.65,SL_HIT,-1.0,1325.0,24547.9,24561.15,100
NAS100_2026-02-17T05:45:00_SHORT,NAS100,sell,2026-02-17T05:45:00,2026-02-17T06:00:00,24549.02,24569.52,24487.52,3.0,2026-02-17T06:47:00,24569.52,SL_HIT,-1.0,1136.9999999998981,24557.65,24569.02,100
NAS100_2026-02-17T13:00:00_SHORT,NAS100,sell,2026-02-17T13:00:00,2026-02-17T13:15:00,24578.57,24599.45,24515.929999999997,3.0,2026-02-17T13:30:00,24599.45,SL_HIT,-1.0,1938.0000000001019,24579.57,24598.95,100
NAS100_2026-02-17T22:00:00_LONG,NAS100,buy,2026-02-17T22:00:00,2026-02-17T22:17:00,24678.79,24659.66,24736.180000000004,3.0,2026-02-17T22:33:00,24659.66,SL_HIT,-1.0,813.0000000001019,24660.16,24668.29,100
NAS100_2026-02-18T03:15:00_SHORT,NAS100,sell,2026-02-18T03:15:00,2026-02-18T03:30:00,24744.16,24750.04,24726.519999999997,3.0,2026-02-18T03:32:00,24750.04,SL_HIT,-1.0,488.00000000010186,24744.66,24749.54,100
NAS100_2026-02-18T06:00:00_LONG,NAS100,buy,2026-02-18T06:00:00,2026-02-18T06:16:00,24746.71,24738.09,24772.569999999996,3.0,2026-02-18T06:21:00,24738.09,SL_HIT,-1.0,486.99999999989814,24738.59,24743.46,100
