symbol,date,pattern,signal_time,entry_time,entry,sl,tp,rr,exit_reason,pnl_r,exit_time
NAS100,2025-12-08,D_FIRST_PULLBACK,2025-12-08 08:00:00+00:00,2025-12-08 08:15:00+00:00,25761.23,25740.35,25802.99,2.0,SL_HIT,-1.0,2025-12-08 09:00:00+00:00
NAS100,2025-12-08,D_FIRST_PULLBACK,2025-12-08 09:15:00+00:00,2025-12-08 09:30:00+00:00,25761.73,25734.1,25816.99,2.0,TP_HIT,2.0,2025-12-08 13:30:00+00:00
NAS100,2025-12-08,D_FIRST_PULLBACK,2025-12-08 15:15:00+00:00,2025-12-08 15:30:00+00:00,25633.85,25600.23,25701.09,2.0,SL_HIT,-1.0,2025-12-08 16:00:00+00:00
NAS100,2025-12-08,D_FIRST_PULLBACK,2025-12-08 16:30:00+00:00,2025-12-08 16:45:00+00:00,25594.35,25567.35,25648.35,2.0,TP_HIT,2.0,2025-12-08 17:00:00+00:00
NAS100,2025-12-08,D_FIRST_PULLBACK,2025-12-08 19:15:00+00:00,2025-12-08 19:30:00+00:00,25587.85,25554.35,25654.85,2.0,TP_HIT,2.0,2025-12-08 20:15:00+00:00
NAS100,2025-12-08,D_FIRST_PULLBACK,2025-12-08 22:45:00+00:00,2025-12-08 23:00:00+00:00,25701.42,25667.3,25769.66,2.0,EOD,0.0,2025-12-08 23:45:00+00:00
NAS100,2025-12-09,D_FIRST_PULLBACK,2025-12-09 01:15:00+00:00,2025-12-09 01:30:00+00:00,25671.92,25650.3,25715.16,2.0,SL_HIT,-1.0,2025-12-09 04:00:00+00:00
NAS100,2025-12-09,D_FIRST_PULLBACK,2025-12-09 05:30:00+00:00,2025-12-09 05:45:00+00:00,25655.3,25621.8,25722.3,2.0,SL_HIT,-1.0,2025-12-09 09:30:00+00:00
NAS100,2025-12-09,D_FIRST_PULLBACK,2025-12-09 10:30:00+00:00,2025-12-09 10:45:00+00:00,25650.47,25605.6,25740.21,2.0,SL_HIT,-1.0,2025-12-09 12:30:00+00:00
NAS100,2025-12-09,D_FIRST_PULLBACK,2025-12-09 15:00:00+00:00,2025-12-09 15:15:00+00:00,25666.47,25610.47,25778.47,2.0,EOD,0.0,2025-12-09 23:45:00+00:00
NAS100,2025-12-10,D_FIRST_PULLBACK,2025-12-10 15:15:00+00:00,2025-12-10 15:30:00+00:00,25624.33,25506.45,25860.09,2.0,EOD,0.0,2025-12-10 23:45:00+00:00
NAS100,2025-12-11,D_FIRST_PULLBACK,2025-12-11 04:45:00+00:00,2025-12-11 05:00:00+00:00,25494.82,25464.32,25555.82,2.0,SL_HIT,-1.0,2025-12-11 05:15:00+00:00
NAS100,2025-12-11,D_FIRST_PULLBACK,2025-12-11 06:15:00+00:00,2025-12-11 06:30:00+00:00,25501.25,25455.37,25593.01,2.0,SL_HIT,-1.0,2025-12-11 07:30:00+00:00
